Title,Subheader,URL,Premium,Image URL,Article Type,Authors
"Plus de 4 000 forces de l’ordre mobilisées mercredi et jeudi pour mener des contrôles dans les gares et les bus à la recherche de « clandestins », annonce Bruno Retailleau",No subheader,https://www.lemonde.fr/societe/article/2025/06/18/bruno-retailleau-annonce-le-deploiement-de-4-000-membres-des-forces-de-l-ordre-pour-le-controle-de-migrants-aux-frontieres-dans-les-gares-et-les-bus_6614250_3224.html,,https://img.lemde.fr/2024/03/19/100/0/4979/3319/162/108/95/0/3f9f550_1710857503629-pns-6498343.jpg,NewsArticle,Le Monde avec AFP
"Le Real Madrid toujours convalescent, Xabi Alonso a du travail pour recréer un vrai collectif triomphant",No subheader,https://www.lemonde.fr/sport/article/2025/06/19/le-real-madrid-toujours-convalescent-xabi-alonso-a-du-travail-pour-recreer-un-vrai-collectif-triomphant_6614271_3242.html,Article réservé aux abonnés,,NewsArticle,Alexandre Lemarié
"Aux Etats-Unis, la Fed maintient ses taux d’intérêt, à rebours des envies de Donald Trump",No subheader,https://www.lemonde.fr/international/article/2025/06/19/etats-unis-la-fed-maintient-ses-taux-d-interet-a-rebours-des-envies-de-donald-trump_6614269_3210.html,,,NewsArticle,Le Monde avec AFP
"Argentine : forte mobilisation en soutien à Cristina Kirchner, condamnée et assignée à résidence",No subheader,https://www.lemonde.fr/international/article/2025/06/19/argentine-forte-mobilisation-en-soutien-a-cristina-kirchner-condamnee-et-assignee-a-residence_6614274_3210.html,,,NewsArticle,Le Monde avec AFP
"A Cahors, les responsables d’un parc animalier devant la justice pour un vaste trafic d’oiseaux protégés",No subheader,https://www.lemonde.fr/planete/article/2025/06/18/a-cahors-les-responsables-d-un-parc-animalier-devant-la-justice-pour-un-vaste-trafic-d-oiseaux-proteges_6614262_3244.html,Article réservé aux abonnés,,NewsArticle,Philippe Gagnebet
La grand-tante du petit Grégory Villemin convoquée pour un nouvel interrogatoire en vue d’une possible mise en examen pour « association de malfaiteurs criminelle »,No subheader,https://www.lemonde.fr/societe/article/2025/06/18/affaire-du-petit-gregory-la-justice-ordonne-un-interrogatoire-de-la-grand-tante-de-l-enfant-en-vue-d-une-possible-mise-en-examen_6614255_3224.html,,,NewsArticle,Le Monde avec AFP
"Les Etats-Unis approuvent un traitement préventif très prometteur contre le VIH, évoquant « un jour historique » dans la lutte contre le sida",No subheader,https://www.lemonde.fr/societe/article/2025/06/18/les-etats-unis-approuvent-un-traitement-preventif-tres-prometteur-contre-le-vih-evoquant-un-jour-historique-dans-la-lutte-contre-le-sida_6614264_3224.html,,,NewsArticle,Le Monde avec AFP
"Dans l’Aisne, un enfant meurt d’une intoxication alimentaire, six autres cas recensés",No subheader,https://www.lemonde.fr/sante/article/2025/06/19/dans-l-aisne-un-enfant-meurt-d-une-intoxication-alimentaire-six-autres-cas-recenses_6614268_1651302.html,,,NewsArticle,Le Monde avec AFP
Comment Donald Trump en est venu à accorder un nouveau sursis à TikTok,No subheader,https://www.lemonde.fr/pixels/article/2025/06/18/comment-donald-trump-en-est-venu-a-accorder-un-nouveau-sursis-a-tiktok_6614257_4408996.html,Article réservé aux abonnés,,NewsArticle,Grégor Brandy
Comment Israël a acquis la supériorité aérienne sur la ville de Téhéran,L’Etat hébreu a mené une longue guerre contre l’Iran et l’« axe de la résistance » pour contrôler le couloir aérien menant à Téhéran.,https://www.lemonde.fr/international/article/2025/06/18/conflit-israel-iran-comment-israel-a-acquis-la-superiorite-aerienne-sur-teheran_6614180_3210.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/18/0/0/1279/853/355/236/75/0/92806f8_upload-1-soosbioq2txw-2025-06-13t064519z-1296547764-mt1eyeim268651-rtrmadp-3-israel-strikes-against-iran.JPG,NewsArticle,Samuel Forey
"The Heritage Foundation, l’influent think tank qui a pavé le retour de Donald Trump, tisse sa toile en Europe","Depuis le début de son mandat, le président américain déroule à la lettre le Projet 2025, une bible de 922 pages rédigée par cet organisme. Son président, Kevin Roberts, regarde aujourd’hui notamment vers la France, où il a rencontré des dirigeants d’extrême droite.",https://www.lemonde.fr/m-le-mag/article/2025/06/18/the-heritage-foundation-les-missionnaires-du-trumpisme-a-l-assaut-de-l-europe_6614138_4500055.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/17/63/1/1472/981/355/236/75/0/7dd2503_ftp-import-images-1-sbr3fpqan4dj-386168-3426830.jpg,NewsArticle,Ivanne Trippenbach
"La volte-face des Etats-Unis dans l’intervention en Syrie en 2013, un traumatisme français","« Divorce transatlantique » (3/5). Le 31 août 2013, alors que les avions français sont prêts à décoller pour la Syrie, où ils doivent mener une opération avec les Etats-Unis contre le régime de Bachar Al-Assad, Barack Obama décide de temporiser, laissant la France seule face à son impuissance.",https://www.lemonde.fr/histoire/article/2025/06/18/la-volte-face-des-etats-unis-dans-l-intervention-en-syrie-en-2013-un-traumatisme-francais_6614130_4655323.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/17/87/0/4608/3072/355/236/75/0/02e0bed_upload-1-3woqyt63yjvk-rea4444187.jpg,NewsArticle,Sylvie Kauffmann
"L’« adultisme », le « système d’oppression et de domination » des enfants",No subheader,https://www.lemonde.fr/idees/article/2025/06/18/l-adultisme-le-systeme-de-domination-des-enfants_6614155_3232.html,,,NewsArticle,Ariane Ferrand
« Guerre préventive et changement de régime sont rarement couronnés de succès »,No subheader,https://www.lemonde.fr/idees/article/2025/06/18/iran-israel-guerre-preventive-et-changement-de-regime-sont-rarement-couronnes-de-succes_6614125_3232.html,,,NewsArticle,Sylvie Kauffmann
Le droit international et les leçons de l’histoire,No subheader,https://www.lemonde.fr/idees/article/2025/06/18/le-droit-international-et-les-lecons-de-l-histoire_6614178_3232.html,,,NewsArticle,Le Monde
